SAMPLE	AUTO_HQ_median	N_BINS
HG00156.alt_bwamem_GRCh38DH.20150718.GBR.low_coverage.cram.by1000.	8.99	15593
HG00380.alt_bwamem_GRCh38DH.20150718.FIN.low_coverage.cram.by1000.	4.04	15593
HG01072.alt_bwamem_GRCh38DH.20150718.PUR.low_coverage.cram.by1000.	6.0	15593
HG01174.alt_bwamem_GRCh38DH.20150718.PUR.low_coverage.cram.by1000.	5.01	15593
HG01770.alt_bwamem_GRCh38DH.20150718.IBS.low_coverage.cram.by1000.	12.62	15593
HG02236.alt_bwamem_GRCh38DH.20150718.IBS.low_coverage.cram.by1000.	5.53	15593
HG02308.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.cram.by1000.	9.5	15593
HG02783.alt_bwamem_GRCh38DH.20150718.PJL.low_coverage.cram.by1000.	9.61	15593
HG03069.alt_bwamem_GRCh38DH.20150718.MSL.low_coverage.cram.by1000.	6.82	15593
HG03650.alt_bwamem_GRCh38DH.20150718.PJL.low_coverage.cram.by1000.	7.74	15593
HG04302.alt_bwamem_GRCh38DH.20150718.GBR.low_coverage.cram.by1000.	4.47	15593
NA12890.alt_bwamem_GRCh38DH.20150718.CEU.low_coverage.cram.by1000.	7.42	15593
NA19210.alt_bwamem_GRCh38DH.20150718.YRI.low_coverage.cram.by1000.	6.91	15593
NA19729.alt_bwamem_GRCh38DH.20150718.MXL.low_coverage.cram.by1000.	4.32	15593
NA19756.alt_bwamem_GRCh38DH.20150718.MXL.low_coverage.cram.by1000.	4.26	15593
NA19795.alt_bwamem_GRCh38DH.20150718.MXL.low_coverage.cram.by1000.	8.07	15593
NA20762.alt_bwamem_GRCh38DH.20150718.TSI.low_coverage.cram.by1000.	7.15	15593
NA20903.alt_bwamem_GRCh38DH.20150718.GIH.low_coverage.cram.by1000.	8.55	15593
